1903,Boston Americans (1; 1–0),Pittsburgh Pirates (1; 0–1)
1963,Los Angeles Dodgers (11; 3–8),New York Yankees (28; 20–8)
1964,St. Louis Cardinals (10; 7–3),New York Yankees (29; 20–9)
1965,Los Angeles Dodgers (12; 4–8),Minnesota Twins (4; 1–3)
1966,Baltimore Orioles (2; 1–1),Los Angeles Dodgers (13; 4–9)
1967,St. Louis Cardinals (11; 8–3),Boston Red Sox (7; 5–2)
1968,Detroit Tigers (8; 3–5),St. Louis Cardinals (12; 8–4)
1969,New York Mets (1; 1–0),Baltimore Orioles (3; 1–2)
1970,Baltimore Orioles (4; 2–2),Cincinnati Reds (5; 2–3)
1971,Pittsburgh Pirates (6; 4–2),Baltimore Orioles (5; 2–3)
1972,Oakland Athletics (9; 6–3),Cincinnati Reds (6; 2–4)
1973,Oakland Athletics (10; 7–3),New York Mets (2; 1–1)
1974,Oakland Athletics (11; 8–3),Los Angeles Dodgers (14; 4–10)
1975,Cincinnati Reds (7; 3–4),Boston Red Sox (8; 5–3)
1976,Cincinnati Reds (8; 4–4),New York Yankees (30; 20–10)
1977,New York Yankees (31; 21–10),Los Angeles Dodgers (15; 4–11)
1978,New York Yankees (32; 22–10),Los Angeles Dodgers (16; 4–12)
1979,Pittsburgh Pirates (7; 5–2),Baltimore Orioles (6; 2–4)
1980,Philadelphia Phillies (3; 1–2),Kansas City Royals (1; 0–1)
1981,Los Angeles Dodgers (17; 5–12),New York Yankees (33; 22–11)
1982,St. Louis Cardinals (13; 9–4),Milwaukee Brewers[L1] (1; 0–1)
1983,Baltimore Orioles (7; 3–4),Philadelphia Phillies (4; 1–3)
1984,Detroit Tigers (9; 4–5),San Diego Padres (1; 0–1)
1985,Kansas City Royals (2; 1–1),St. Louis Cardinals (14; 9–5)
1986,New York Mets (3; 2–1),Boston Red Sox (9; 5–4)
1987,Minnesota Twins (5; 2–3),St. Louis Cardinals (15; 9–6)
1988,Los Angeles Dodgers (18; 6–12),Oakland Athletics (12; 8–4)
1989,Oakland Athletics (13; 9–4),San Francisco Giants (16; 5–11)
1990,Cincinnati Reds (9; 5–4),Oakland Athletics (14; 9–5)
1991,Minnesota Twins (6; 3–3),Atlanta Braves (5; 2–3)
1992,Toronto Blue Jays (1; 1–0),Atlanta Braves (6; 2–4)
1993,Toronto Blue Jays (2; 2–0),Philadelphia Phillies (5; 1–4)
1995,Atlanta Braves (7; 3–4),Cleveland Indians (4; 2–2)
1996,New York Yankees (34; 23–11),Atlanta Braves (8; 3–5)
1997,Florida Marlins[W] (1; 1–0),Cleveland Indians (5; 2–3)
1998,New York Yankees (35; 24–11),San Diego Padres (2; 0–2)
1999,New York Yankees (36; 25–11),Atlanta Braves (9; 3–6)
2000,New York Yankees (37; 26–11),New York Mets[W] (4; 2–2)
2001,Arizona Diamondbacks (1; 1–0),New York Yankees (38; 26–12)
2002,Anaheim Angels[W] (1; 1–0),San Francisco Giants[W] (17; 5–12)
2003,Florida Marlins[W] (2; 2–0),New York Yankees (39; 26–13)
2004,Boston Red Sox[W] (10; 6–4),St. Louis Cardinals (16; 9–7)
2005,Chicago White Sox (5; 3–2),Houston Astros[W][L2] (1; 0–1)
2006,St. Louis Cardinals (17; 10–7),Detroit Tigers[W] (10; 4–6)
2007,Boston Red Sox (11; 7–4),Colorado Rockies[W] (1; 0–1)
2008,Philadelphia Phillies (6; 2–4),Tampa Bay Rays (1; 0–1)
2009,New York Yankees (40; 27–13),Philadelphia Phillies (7; 2–5)
2010,San Francisco Giants (18; 6–12),Texas Rangers (1; 0–1)
2011,St. Louis Cardinals[W] (18; 11–7),Texas Rangers (2; 0–2)
2012,San Francisco Giants (19; 7–12),Detroit Tigers (11; 4–7)
2013,Boston Red Sox (12; 8–4),St. Louis Cardinals (19; 11–8)
2014,San Francisco Giants[W] (20; 8–12),Kansas City Royals[W] (3; 1–2)
2015,Kansas City Royals (4; 2–2),New York Mets (5; 2–3)
2016,Chicago Cubs (11; 3–8),Cleveland Indians (6; 2–4)
2017,Houston Astros (2; 1–1),Los Angeles Dodgers (19; 6–13)
2018,Boston Red Sox (13; 9–4),Los Angeles Dodgers (20; 6–14)
2019,Washington Nationals[W] (1; 1–0),Houston Astros (3; 1–2)
2020,Los Angeles Dodgers (21; 7–14),Tampa Bay Rays (2; 0–2)
2021,Atlanta Braves (10; 4–6),Houston Astros (4; 1–3)
